;drug;gene;p;mean1;mean2;diff;p.adj
2162;SB-203580;del18p;0,282501916149235;1,03692990987568;1,01860914809178;0,0183207617839005;0,742562555353437
2163;SB-203580;del1q;0,548694233072392;1,03612968877996;1,04428462951027;-0,00815494073031142;0,898530532461308
2164;SB-203580;del2q;0,564908894166384;1,03621197837276;1,04603413150326;-0,00982215313049117;0,898530532461308
2165;SB-203580;del3p;0,586094030882258;1,03672290558989;1,02821774410572;0,00850516148417158;0,908489834632167
2166;SB-203580;del4q;0,0222431615195441;1,0354735425015;1,07424238178569;-0,0387688392841889;0,252696900541706
2167;SB-203580;del6q;0,165057322271281;1,03418864437645;1,04852235870614;-0,0143337143296878;0,625995770832769
2168;SB-203580;del8p;0,751052919004793;1,03667075316998;1,03296083547889;0,00370991769108708;0,95616068561204
2169;SB-203580;del9p;0,762142201430584;1,03630576808309;1,04069547985865;-0,00438971177556424;0,959207847174054
2170;SB-203580;del9q;0,783571153376234;1,03633116982464;1,04062271000534;-0,00429154018069178;0,96343000674684
2171;SB-203580;gain17q;0,444409711011449;1,0360969960373;1,04803821327122;-0,0119412172339206;0,86446782431054
2172;SB-203580;gain18q;0,802217494636156;1,0362697442038;1,04051486175929;-0,0042451175554965;0,965700805623923
2173;SB-203580;gain19p;0,658263706533466;1,03665513200761;1,02910566265198;0,00754946935563683;0,92794505789119
2174;SB-203580;gain19q;0,658263706533466;1,03665513200761;1,02910566265198;0,00754946935563683;0,92794505789119
2175;SB-203580;gain2p;0,982898118614381;1,03644988504693;1,03672555810417;-0,000275673057239079;0,994014441736251
2176;SB-203580;gain8q;0,956125212843137;1,03493372446669;1,03545023351163;-0,000516509044939939;0,988746113317926
2177;SB-203580;trisomy12;0,0132578311839478;1,03732320775152;1,02014942503384;0,0171737827176754;0,188943285087638
2178;SB-203580;ATM;0,813130771007497;1,03477768802069;1,03276294929013;0,00201473873055491;0,965700805623923
2179;SB-203580;BIRC3;0,957863963543594;1,03459721242705;1,03533793742521;-0,000740724998162356;0,989638057004414
2180;SB-203580;BRAF;0,643038086110799;1,03443109628899;1,02963749034905;0,00479360593994382;0,925013790710501
2181;SB-203580;CSMD3;0,584924379380587;1,03442131246832;1,04267328989948;-0,00825197743116823;0,908353153861617
2182;SB-203580;DDX3X;0,970095378367786;1,03463342764574;1,03414078263028;0,000492645015460536;0,991062702104089
2183;SB-203580;EGR2;0,989819966185278;1,034611812442;1,03476239956392;-0,000150587121922952;0,998101471904543
2184;SB-203580;FAT2;0,0717389905015034;1,03526363649542;1,0081380047881;0,0271256317073201;0,459627125478014
2185;SB-203580;FAT4;0,88244504889552;1,03456020279803;1,03663327444063;-0,00207307164259718;0,97814557582493
2186;SB-203580;FBXW7;0,602598123493959;1,03497856546212;1,02851899307804;0,00645957238408013;0,911791483801995
2187;SB-203580;HIST1H1E;0,385142742054587;1,03493003894516;1,02181550434901;0,0131145345961463;0,828894162247916
2188;SB-203580;IKZF3;0,0781410218742276;1,03530168709447;1,01068132406549;0,0246203630289712;0,471910485044355
