"","x"
"ACSS1",1.11590406839237
"ACSS2",1.12474622633596
"ACTA1",-1.0981400747984
"ACTA2",0.553398840370117
"ACTA2-AS1",0.978695132230808
"ACTB",-0.291313852337023
"ACTBP2",0.2184843895821
"ACTBP7",1.23520068439471
"ACTG1",-0.818525509924228
"ACTG1P1",0.0743150339710421
"ACTG1P10",1.35820397288689
"ACTG1P14",-0.827587464327962
"ACTG1P17",0.210304472294919
"ACTG1P20",0.157558348044953
"ACTG1P22",1.45180227984468
"ACTG1P24",-0.603316372050651
"ACTG1P3",-0.476347466009636
"ACTL10",0.662090931573054
"ACTL6A",0.519862275288939
"ACTL6B",-0.112152089977217
"ACTL7B",-0.0344094916937839
"ACTN1",-0.657807084598344
"ACTN3",-3.03873934632326
"ACTN4",-0.0733327182466887
