"","x"
"AC002558.1",0.379053764176121
"AC002984.2",0.451798309347089
"AC002994.1",1.06686606487329
"AC003003.5",-0.0541735663285949
"AC003005.2",-0.517383009599095
"AC003029.1",0.245402110782854
"AC003051.1",-0.124322445641477
"AC003075.4",-2.8317593492158
"AC003090.1",0.657469715653253
"AC003092.1",-2.03097142419605
"AC003102.1",-3.10679402036594
"AC003102.3",0.607329311338118
"AC003104.1",0.5816030521179
"AC003665.1",-0.131549369202295
"AC003682.16",0.0519937603988692
"AC003682.17",-0.650519776563469
"AC003958.2",1.01645194140797
"AC003973.1",0.64905415675777
"AC003973.6",-0.0134963541499187
"AC003989.4",-0.507927645466992
"AC003991.3",1.18117094332447
"AC004012.1",-0.296530334996067
"AC004017.1",0.222401369397191
"AC004019.10",1.74623430467619
